"filename", "language", "Markdown", "PHP", "Batch", "Ruby", "JavaScript", "CSS", "Docker", "YAML", "Shell Script", "Properties", "JSON", "MS SQL", "comment", "blank", "total"
"d:\wamp64\www\darkened-hub-dev\backend\translations\ro\kvselect.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 1, 23
"d:\wamp64\www\darkened-hub-dev\backend\translations\ro\yii.php", "PHP", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 1, 142
"d:\wamp64\www\darkened-hub-dev\backend\translations\ro\yii\bootstrap5.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 1, 26
"d:\wamp64\www\darkened-hub-dev\backend\views\announcement\_form.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 29
"d:\wamp64\www\darkened-hub-dev\backend\views\announcement\create.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 21
"d:\wamp64\www\darkened-hub-dev\backend\views\announcement\index.php", "PHP", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 49
"d:\wamp64\www\darkened-hub-dev\backend\views\announcement\update.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 21
"d:\wamp64\www\darkened-hub-dev\backend\views\concert\_form.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 32
"d:\wamp64\www\darkened-hub-dev\backend\views\concert\create.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 21
"d:\wamp64\www\darkened-hub-dev\backend\views\concert\index.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 49
"d:\wamp64\www\darkened-hub-dev\backend\views\concert\update.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 23
"d:\wamp64\www\darkened-hub-dev\backend\views\layouts\blank.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 34
"d:\wamp64\www\darkened-hub-dev\backend\views\layouts\main.php", "PHP", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 81
"d:\wamp64\www\darkened-hub-dev\backend\views\proposal\_form.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 34
"d:\wamp64\www\darkened-hub-dev\backend\views\proposal\create.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 21
"d:\wamp64\www\darkened-hub-dev\backend\views\proposal\index.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 52
"d:\wamp64\www\darkened-hub-dev\backend\views\proposal\update.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 23
"d:\wamp64\www\darkened-hub-dev\backend\views\public-proposal\_form.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 32
"d:\wamp64\www\darkened-hub-dev\backend\views\public-proposal\create.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 21
"d:\wamp64\www\darkened-hub-dev\backend\views\public-proposal\index.php", "PHP", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 51
"d:\wamp64\www\darkened-hub-dev\backend\views\public-proposal\update.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 23
"d:\wamp64\www\darkened-hub-dev\backend\views\site\error.php", "PHP", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 28
"d:\wamp64\www\darkened-hub-dev\backend\views\site\index.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 17
"d:\wamp64\www\darkened-hub-dev\backend\views\site\login.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 33
"d:\wamp64\www\darkened-hub-dev\backend\views\song\_form.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20, 50
"d:\wamp64\www\darkened-hub-dev\backend\views\song\create.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 21
"d:\wamp64\www\darkened-hub-dev\backend\views\song\index.php", "PHP", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 60
"d:\wamp64\www\darkened-hub-dev\backend\views\song\update.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 23
"d:\wamp64\www\darkened-hub-dev\backend\views\user\_form.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 45
"d:\wamp64\www\darkened-hub-dev\backend\views\user\create.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 21
"d:\wamp64\www\darkened-hub-dev\backend\views\user\index.php", "PHP", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 61
"d:\wamp64\www\darkened-hub-dev\backend\views\user\update.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 23
"d:\wamp64\www\darkened-hub-dev\backend\web\css\site.css", "CSS", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 2, 15, 91
"d:\wamp64\www\darkened-hub-dev\backend\web\index-test.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 28
"d:\wamp64\www\darkened-hub-dev\backend\web\index.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\wamp64\www\darkened-hub-dev\codeception.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 0, 9
"d:\wamp64\www\darkened-hub-dev\common\codeception.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"d:\wamp64\www\darkened-hub-dev\common\config\__autocomplete.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 34
